,ba_score,feel,look,overall,rDev,smell,taste,user_id
368,3.5,N/A,N/A,N/A,-7.7%,N/A,N/A,712789
369,3.5,N/A,N/A,N/A,-7.7%,N/A,N/A,704174
370,3.75,N/A,N/A,N/A,-1.1%,N/A,N/A,563932
371,4,N/A,N/A,N/A,+5.5%,N/A,N/A,799455
372,1.75,N/A,N/A,N/A,-53.8%,N/A,N/A,790347
373,3.5,N/A,N/A,N/A,-7.7%,N/A,N/A,680562
374,3.75,N/A,N/A,N/A,-1.1%,N/A,N/A,683663
375,3.75,N/A,N/A,N/A,-1.1%,N/A,N/A,721566
376,3.25,N/A,N/A,N/A,-14.2%,N/A,N/A,794201
377,4,N/A,N/A,N/A,+5.5%,N/A,N/A,796519
378,4,N/A,N/A,N/A,+5.5%,N/A,N/A,674812
379,4,N/A,N/A,N/A,+5.5%,N/A,N/A,722530
380,3.5,N/A,N/A,N/A,-7.7%,N/A,N/A,660367
381,3.5,N/A,N/A,N/A,-7.7%,N/A,N/A,763685
382,4.25,N/A,N/A,N/A,+12.1%,N/A,N/A,680921
383,3.5,N/A,N/A,N/A,-7.7%,N/A,N/A,803764
384,3.5,N/A,N/A,N/A,-7.7%,N/A,N/A,693630
385,3.99,4,3.75,4,+5.3%,4,4,179213
386,3.25,N/A,N/A,N/A,-14.2%,N/A,N/A,682524
387,4.5,N/A,N/A,N/A,+18.7%,N/A,N/A,802165
388,4,N/A,N/A,N/A,+5.5%,N/A,N/A,717195
389,4.5,N/A,N/A,N/A,+18.7%,N/A,N/A,801586
390,3.54,3.75,3.75,3.5,-6.6%,3.5,3.5,796509
391,3.6,3.5,3.5,3.5,-5%,3.5,3.75,779371
392,3.25,N/A,N/A,N/A,-14.2%,N/A,N/A,659661
393,3.25,N/A,N/A,N/A,-14.2%,N/A,N/A,356820
394,3.75,N/A,N/A,N/A,-1.1%,N/A,N/A,735207
395,3.75,N/A,N/A,N/A,-1.1%,N/A,N/A,800318
396,3.25,N/A,N/A,N/A,-14.2%,N/A,N/A,795146
397,3,N/A,N/A,N/A,-20.8%,N/A,N/A,660755
398,3.75,N/A,N/A,N/A,-1.1%,N/A,N/A,687991
399,3.5,N/A,N/A,N/A,-7.7%,N/A,N/A,799336
400,3.5,N/A,N/A,N/A,-7.7%,N/A,N/A,757835
401,4,N/A,N/A,N/A,+5.5%,N/A,N/A,570270
402,3.5,N/A,N/A,N/A,-7.7%,N/A,N/A,793139
403,3,N/A,N/A,N/A,-20.8%,N/A,N/A,775171
404,4,N/A,N/A,N/A,+5.5%,N/A,N/A,767305
405,3.75,N/A,N/A,N/A,-1.1%,N/A,N/A,393387
406,3.75,N/A,N/A,N/A,-1.1%,N/A,N/A,663388
407,4,N/A,N/A,N/A,+5.5%,N/A,N/A,245230
408,3.25,N/A,N/A,N/A,-14.2%,N/A,N/A,505403
409,3.5,N/A,N/A,N/A,-7.7%,N/A,N/A,380679
